year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,3302,4848,21824,3275,38,418,4644,38349,0.010899893087173068,0.000990899371561188,0.08610394012881692,0.12641789877180631,0.12109833372447783,0.08539988004902345,0.5690891548671413
1995,3179,5055,21891,3151,55,485,4656,38472,0.01260657101268455,0.001429611145768351,0.08263152422541069,0.131394260761073,0.12102308172177167,0.08190372218756498,0.5690112289457268
1996,3264,5118,20557,2992,45,398,4417,36791,0.010817863064336387,0.0012231252208420537,0.08871734935174364,0.13911010845043625,0.12005653556576337,0.081324236905765,0.5587507814411133
1997,3165,4276,20780,2784,54,403,4270,35732,0.011278405910668308,0.0015112504197917834,0.08857606627112952,0.11966864435240121,0.11950072763909102,0.07791335497593194,0.5815515504309863
1998,3021,4098,18611,2607,41,421,4015,32814,0.01282988968123362,0.0012494666910465046,0.09206436277198757,0.12488571950996526,0.12235631133052965,0.07944779667215213,0.5671664533430852
1999,2773,3787,16654,2658,52,517,3908,30349,0.01703515766582095,0.001713400771030347,0.091370391116676,0.12478170615176777,0.12876865794589606,0.08758113941151273,0.5487495469372962
2000,2540,3899,16838,2350,27,497,3554,29705,0.016731190035347586,0.000908937889244235,0.0855074903214947,0.1312573640801212,0.11964315771755597,0.07911126073051675,0.5668405992257196
2001,2681,3847,16695,2618,39,501,3735,30116,0.01663567538849781,0.001294992694913003,0.08902244654004515,0.12773940762385444,0.12402045424359144,0.08693053526364723,0.5543564882454509
2002,2594,3908,17739,2471,33,511,3627,30883,0.016546319981867046,0.0010685490399248777,0.08399443059288282,0.12654211054625522,0.1174432535699252,0.08001165689861736,0.5743936793705274
2003,2787,3874,18051,2461,39,605,3877,31694,0.019088786521108098,0.0012305168170631665,0.08793462485012936,0.12223133716160788,0.12232599230138197,0.07764876632801161,0.569539976020698
2004,3117,3773,16159,2240,37,558,4159,30043,0.01857337815797357,0.0012315680857437673,0.10375128981792764,0.12558665912192524,0.13843490996238725,0.07455979762340645,0.5378623972306361
2005,3087,4131,17249,2595,32,538,4194,31826,0.016904417771633255,0.0010054672280525357,0.09699616665619305,0.12979953497140703,0.13177904857663544,0.08153710802488531,0.5419782567711934
2006,3460,4136,17490,2529,36,509,4610,32770,0.01553249923710711,0.001098565761367104,0.10558437595361611,0.12621299969484284,0.1406774488861764,0.07717424473603907,0.5337198657308514
2007,3363,3682,16998,2418,44,529,4519,31553,0.016765442271733273,0.001394479130352106,0.1065825753494121,0.11669254904446487,0.1432193452286629,0.07663296675434983,0.538712642221025
2008,3360,3240,15246,1638,28,441,4474,28427,0.015513420339817778,0.0009849790691947797,0.11819748830337355,0.11397614943539593,0.15738558412776585,0.057621275547894604,0.5363211031765575
2009,3232,3597,15291,1689,22,512,4421,28764,0.017800027812543456,0.0007648449450702267,0.11236267556668057,0.12505214851898205,0.15369906827979418,0.058719232373800584,0.531602002503129
2010,3379,3105,15535,1619,31,533,4537,28739,0.018546226382267997,0.0010786735794564876,0.11757542016075716,0.10804133755523852,0.15786909774174468,0.05633459758516302,0.5405546469953721
2011,3358,2826,14859,1343,29,420,4383,27218,0.015430964802704093,0.0010654713792343303,0.12337423763685797,0.1038283488867661,0.16103313983393341,0.04934234697626571,0.5459254904842383
2012,3169,2950,15565,1522,30,583,4412,28231,0.020651057348305055,0.0010626616131203287,0.11225248839927739,0.10449505862349899,0.15628210123622968,0.05391236583897134,0.5513442669405972
2013,3128,2916,16599,1695,34,922,4708,30002,0.03073128458102793,0.001133257782814479,0.10425971601893207,0.0971935204319712,0.1569228718085461,0.05649623358442771,0.5532631157922805
2014,3243,3150,15445,1739,41,771,4684,29073,0.02651945103704468,0.0014102431809582775,0.11154679599628521,0.10834795170777009,0.16111168438069687,0.05981494857771816,0.5312489251195267
2015,3671,3511,15249,2046,59,901,5392,30829,0.029225729021375976,0.0019137824775373837,0.1190761944921989,0.11388627590904668,0.17490025625223005,0.0663660838820591,0.4946316779655519
2016,4011,4053,17766,3057,52,1053,5966,35958,0.02928416485900217,0.0014461315979754157,0.11154680460537293,0.11271483397296847,0.16591579064464096,0.08501585182713166,0.4940764224929084
2017,4257,4171,17775,4258,62,863,6133,37519,0.023001679149231055,0.0016524960686585463,0.11346251232708761,0.11117034036088382,0.1634638449852075,0.11348916548948533,0.47375996161944617
