year,rape,murder,assault,burglary,violent,motor_vehicle,larceny,total_partial,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,102216,23326,1113179,2715388,1857742,1539287,7879812,15230950,0.006711072,0.001531487,0.073086643,0.178280935,0.121971512,0.101063098,0.517355254
1995,97470,21606,1099207,2596281,1798792,1472441,7997710,15083507,0.006462025,0.001432425,0.072874763,0.172127145,0.119255555,0.097619274,0.530228812
1996,96252,19645,1037049,2511066,1688540,1394238,7904685,14651475,0.006569441,0.001340821,0.070781201,0.171386567,0.1152471,0.095160248,0.539514622
1997,96153,18208,1023201,2463062,1636096,1354189,7743760,14334669,0.006707724,0.001270207,0.071379465,0.171825523,0.114135597,0.094469499,0.540211985
1998,93144,16974,976583,2335370,1533887,1242781,7376311,13575050,0.006861411,0.001250382,0.071939551,0.172033989,0.112993101,0.091548908,0.543372658
1999,89411,15522,911740,2101721,1426044,1152075,6955520,12652033,0.007066928,0.001226838,0.072062727,0.166117256,0.112712637,0.091058488,0.549755126
2000,90178,15586,911706,2050980,1425486,1160002,6971590,12625528,0.007142513,0.001234483,0.072211317,0.162447068,0.11290506,0.091877504,0.552182055
2001,90863,16037,909023,2118500,1439480,1228391,7092267,12894561,0.007046614,0.001243703,0.070496623,0.164294077,0.111634665,0.095264275,0.550020043
2002,95235,16229,891407,2152419,1423677,1246646,7057379,12882992,0.007392305,0.001259723,0.069192545,0.167074465,0.110508258,0.096766807,0.547805898
2003,93883,16528,859030,2155582,1383676,1261226,7026802,12796727,0.007336485,0.00129158,0.067128884,0.168447916,0.108127336,0.098558483,0.549109315
2004,94635,16137,854911,2142215,1367009,1237114,6947685,12659706,0.007475292,0.001274674,0.067530083,0.169215225,0.107981102,0.097720595,0.548803029
2005,94347,16740,862220,2154716,1390745,1235859,6783447,12538074,0.00752484,0.001335133,0.068768138,0.171853827,0.110921741,0.098568488,0.541027833
2006,92757,17030,860853,2181947,1418043,1192809,6607013,12370452,0.007498271,0.001376668,0.069589454,0.176383773,0.114631462,0.096424043,0.534096329
2007,90427,16929,855856,2179023,1408337,1095769,6568572,12214913,0.007403,0.001385929,0.070066483,0.178390382,0.115296523,0.089707475,0.537750207
2008,89000,16272,834885,2217755,1382012,956846,6588873,12085643,0.00736411,0.001346391,0.069080727,0.183503269,0.114351549,0.079172122,0.545181833
2009,88097,15241,806843,2195570,1318398,794616,6327230,11545995,0.007630092,0.001320025,0.069880768,0.190158579,0.114186608,0.068821786,0.548002143
2010,84767,14748,778901,2164000,1246248,737142,6185867,11211673,0.007560602,0.001315415,0.069472326,0.193013121,0.111156292,0.065747726,0.551734518
2011,83425,14612,751131,2183809,1203564,715373,6159795,11111709,0.007507846,0.001315009,0.067598153,0.196532235,0.108314932,0.064380106,0.55435172
2012,84376,14827,760739,2101392,1214464,721053,6150598,11047449,0.0076376,0.00134212,0.068861056,0.190215135,0.109931623,0.065268733,0.556743733
2013,108612,14196,724149,1926994,1191988,699594,6004453,10669986,0.010179207,0.001330461,0.067867849,0.180599487,0.111714111,0.065566534,0.56274235
2014,116186,14081,729800,1704555,1181531,683059,5789848,10219060,0.011369539,0.001377915,0.071415571,0.166801545,0.115620321,0.066841666,0.566573442
2015,124317,15696,764449,1578823,1231566,707758,5706346,10128955,0.012273428,0.001549617,0.075471655,0.155872249,0.121588654,0.06987473,0.563369666
2016,132418,17413,803007,1514007,1283058,767290,5638455,10155648,0.013038853,0.001714612,0.079069991,0.149080295,0.126339353,0.075553032,0.555203863
2017,135755,17284,810825,1401669,1283220,773139,5519107,9940999,0.013656072,0.001738658,0.081563734,0.140998807,0.129083606,0.077772767,0.555186355
