year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,3735,15089,74554,5689,56,806,5810,105739,0.0076225422975439525,0.0005296059164546667,0.03532282317782465,0.14270042273900832,0.05494661383217167,0.053802286762689264,0.7050757052743075
1995,4196,15623,89202,7592,76,834,6415,123938,0.006729171037131469,0.0006132098307218125,0.03385563749616744,0.12605496296535365,0.05175975084316352,0.061256434668947375,0.7197308331585147
1996,4362,16965,87542,8572,63,836,6638,124978,0.006689177295203956,0.0005040887196146521,0.034902142777128775,0.13574389092480277,0.05311334794923907,0.0685880715005841,0.7004592808334267
1997,4443,18335,89090,9144,50,977,6878,128917,0.00757851951255459,0.00038784644383595644,0.03446403499926309,0.14222329095464523,0.053352156814074174,0.07092935764871972,0.6910647936269072
1998,4274,17070,84255,7700,65,875,6599,120838,0.007241099654082325,0.0005379102600175441,0.03536966848176898,0.1412635098230689,0.05461030470547344,0.06372167695592446,0.6972558301196643
1999,3861,14592,78156,7382,44,806,5869,110710,0.007280281817360672,0.00039743473940926743,0.03487489838316322,0.13180381176045525,0.05301237467256797,0.06667871014361847,0.7059524884834252
2000,3563,14348,73438,6461,43,863,5711,104427,0.00826414624570274,0.0004117709021613184,0.03411952847443669,0.13739741637699063,0.054688921447518364,0.06187097206661112,0.7032472444865792
2001,3154,13804,70676,6513,67,896,5314,100424,0.008922169999203377,0.0006671711941368597,0.03140683501951725,0.13745718155022704,0.05291563769616825,0.06485501473751294,0.7037759898032343
2002,3358,15124,74795,7722,47,943,5488,107477,0.00877397024479656,0.00043730286479898024,0.03124389404244629,0.14071847930254847,0.05106208770248518,0.07184793025484522,0.6959163355880793
2003,3652,16961,75321,7802,60,919,5889,110604,0.008308921919641242,0.0005424758598242378,0.03301869733463528,0.15334888430798163,0.05324400564174894,0.07053994430581173,0.680997070630357
2004,3424,15221,74735,7651,46,933,5639,107649,0.008667056823565477,0.00042731469869669017,0.031807076702988414,0.14139471801874612,0.052383208390231216,0.07107358173322557,0.6942470436325465
2005,3541,14971,72082,8493,56,920,5612,105675,0.008705938017506507,0.0005299266619351787,0.03350839839129406,0.1416702152827064,0.05310622190678969,0.08036905606813342,0.6821102436716348
2006,3562,14701,66671,8299,46,869,5722,99870,0.008701311705216782,0.0004605987784119355,0.035666366276159,0.14720136177030138,0.05729448282767598,0.08309802743566637,0.6675778512065685
2007,3824,15541,68241,8812,58,908,6210,103594,0.008764986389173118,0.0005598779852114987,0.03691333474911675,0.15001834083055005,0.059945556692472535,0.08506284147730564,0.6587350618761705
2008,3717,14682,69996,7195,39,893,6070,102592,0.008704382407985028,0.00038014660012476606,0.03623089519650655,0.1431105739238927,0.059166406737367436,0.07013217404865876,0.6822754210854648
2009,3683,15159,69142,6904,37,905,5924,101754,0.008893999253100615,0.00036362206891129585,0.036195137291900076,0.14897694439530632,0.05821884151974369,0.06784991253415099,0.679501542936887
2010,3610,15017,66914,5949,53,948,5879,98370,0.009637084476974688,0.0005387821490291755,0.03669818033953441,0.1526583307919081,0.059764155738538174,0.06047575480329369,0.6802277117007217
2011,3505,13122,64453,6183,54,854,5494,93665,0.009117599957294614,0.0005765227139272941,0.03742059467250307,0.14009501948433245,0.058655847968825066,0.06601185074467517,0.6881225644584423
2012,3783,12943,66482,5999,50,943,5876,96076,0.00981514634247887,0.0005204213331112869,0.03937507806319997,0.13471626628918773,0.06115991506723844,0.062440151546692205,0.6919730213580915
2013,3784,13333,64788,7465,49,1422,6498,97339,0.01460873853234572,0.0005033953502707034,0.03887444909029269,0.13697490214610794,0.06675638747059247,0.07669074060756736,0.6655913868028231
2014,3513,11518,65895,7298,67,1454,6346,96091,0.015131489941825978,0.0006972557263427376,0.03655909502450802,0.1198655441196366,0.06604156476673154,0.07594884016192983,0.6857562102590253
2015,4046,12468,68103,8707,54,1645,7071,102094,0.01611260211177934,0.0005289243246419966,0.039630144768546635,0.12212274962289654,0.06925970184339922,0.08528414990107157,0.6670617274276647
2016,4274,12836,67834,9362,74,1560,7407,103347,0.015094777787453918,0.0007160343309433268,0.0413558206817808,0.12420292799984518,0.07167116607158408,0.09058801900393819,0.6563712541244545
2017,4172,11817,64892,9529,73,1697,7410,99590,0.017039863440104427,0.0007330053218194598,0.04189175620042173,0.11865649161562405,0.07440506074907119,0.09568229741941962,0.6515915252535395
